                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 2.1241,                  1.596,                 1.5185,                 2.1667,                 1.9894,                 1.3548,                0.23073,                0.51673,                0.30185,                 0.1033,                 2.1475,                 1.8006,                 1.6934,                 2.0062,                 2.5862,                 1.5452,             0.00069331,             0.00069331,             0.00069331
                     62,                 2.0302,                 1.5561,                 1.4197,                 2.1236,                 1.9068,                 1.2591,                0.26765,                0.54529,                0.29656,                0.08984,                 2.2233,                 2.0907,                 1.7442,                 2.0893,                  2.804,                 1.5654,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.0662,                 1.5814,                 1.4138,                 2.1502,                 1.9202,                 1.2566,                0.28417,                0.55371,                0.32862,                0.10919,                 2.2327,                 2.0686,                 1.7347,                 2.0735,                 2.8369,                 1.5448,              0.0006603,              0.0006603,              0.0006603
                     64,                 2.0331,                  1.559,                 1.4313,                 2.0943,                 1.9332,                 1.2575,                0.34079,                0.55899,                0.44242,                0.15778,                 2.0564,                 1.8722,                 1.6358,                 1.9332,                 2.6895,                  1.471,              0.0006438,              0.0006438,              0.0006438
                     65,                 2.0371,                 1.5915,                 1.4393,                 2.1341,                 1.9844,                 1.2933,                0.27502,                0.64155,                  0.382,                0.14656,                 2.0796,                 1.9486,                 1.6666,                 2.0187,                 2.6619,                 1.5036,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.9991,                 1.5672,                 1.4021,                 2.1053,                 1.9141,                 1.2454,                0.30052,                0.55971,                0.39085,                0.14089,                 2.0633,                  1.794,                 1.6595,                 1.9687,                 2.4117,                 1.5205,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.0223,                 1.5418,                 1.4337,                 2.0757,                 1.8857,                 1.2567,                0.30015,                0.54386,                    0.4,                 0.1345,                 2.1364,                 1.7642,                 1.6671,                 1.9747,                 2.3781,                 1.5199,             0.00059429,             0.00059429,             0.00059429
                     68,                  2.044,                 1.5713,                 1.3904,                 2.1783,                 1.9007,                 1.2439,                0.26924,                0.66769,                0.35334,                0.12509,                 2.1824,                 2.0478,                 1.7023,                 2.0135,                 2.8166,                 1.5208,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.9525,                 1.5267,                 1.3844,                 2.0461,                 1.8651,                 1.2477,                0.26754,                0.61659,                0.34946,                 0.1162,                 2.1543,                 2.0209,                 1.7107,                 2.0027,                 2.8089,                 1.5144,             0.00056128,             0.00056128,             0.00056128
                     70,                 2.0034,                 1.5506,                 1.4271,                 2.0661,                 1.9082,                 1.2657,                0.29635,                0.52414,                0.31568,                0.11635,                 2.0818,                 1.7888,                 1.6857,                 1.9475,                  2.372,                  1.509,             0.00054478,             0.00054478,             0.00054478
